見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「現代版画の展開」,展示,～3月26日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－春 特集「群像－交錯する声」,展示,～5月7日,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670　,073-423-2467 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「躍動する紀南武士－安宅氏と小山氏－」,展示,～4月16日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,特別展「東照宮の文化財Ⅱ　没後400年家康の遺宝」,,4月22日～6月4日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,春期企画展「古代のアクセサリー」,展示,～5月14日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,第8回HANI-1選手権（ハニワづくり）,イベント,4月9・16・23・30日、5月14・28日、6月11日13:30?,,小学生以上,各40人（先着順）,350円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,風土記講座（1）春期企画展展示解説,イベント,4月15日13:30?15:30,,小学生以上,30人（先着順）,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6124　,073-471-6121,〒640-8301　和歌山市岩橋1412,9:00～16:30（入館は16:01まで）,休館／月曜（祝日の場合次の平日）,民家ガイド「重要文化財旧柳川家住宅・旧谷山家住宅」,イベント,4月22日13:30?15:30,,小学生以上,30人（先着順）,,4月7日13:00?,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6124　,073-471-6121,〒640-8301　和歌山市岩橋1412,9:00～16:30（入館は16:01まで）,休館／月曜（祝日の場合次の平日）,ボランティア養成講座,イベント,5月13・27日、6月3・17日13:30?15:30,,18歳以上,各30人（先着順）,,4月26日13:00?,67歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,磯の生物観察会,イベント,5月14日11:00～14:00,名田海岸（御坊市）,小学生以上（小学4年生以下は保護者同伴）,60人（抽選）,,4月30日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
